,fighter_name,height,weight
0,AJ Fonseca,162.56,65.83
1,AJ Matthews,180.34,83.99000000000001
2,AJ McKee,177.8,65.83
3,AJ Siscoe,170.18,61.29
4,Aalon Cruz,182.88,65.83
5,Aaron Brink,190.5,93.07000000000001
6,Aaron Ely,172.72,61.29
7,Aaron Jeffery,187.96,83.99000000000001
8,Aaron Miller,175.26,65.83
9,Aaron Phillips,175.26,61.29
10,Aaron Riley,172.72,70.37
11,Aaron Rosa,193.04,93.07000000000001
12,Aaron Simpson,182.88,77.18
13,Aaron Trujillo,165.1,56.75
14,Aaron Wilkinson,177.8,70.37
15,Abdul Razak Alhassan,177.8,77.18
16,Abdul-Kerim Edilov,187.96,93.07000000000001
17,Abel Cullum,170.18,63.106
18,Abel Trujillo,172.72,70.37
19,Abner Lloveras,180.34,70.37
20,Abongo Humphrey,180.34,93.07000000000001
21,Abram Torres,177.8,77.18
22,Abu Azaitar,175.26,83.99000000000001
23,Achmed Labasanov,190.5,97.61
24,Adam Antolin,165.1,56.75
25,Adam Cella,187.96,77.18
26,Adam Hunter,185.42,83.99000000000001
27,Adam Khaliev,182.88,77.18
28,Adam Lynn,177.8,70.37
29,Adam Meredith,187.96,77.18
30,Adam Milstead,190.5,93.07000000000001
31,Adam Piccolotti,180.34,70.37
32,Adam Schindler,172.72,70.37
33,Adam Wieczorek,195.57999999999998,113.5
34,Adam Yandiev,175.26,83.99000000000001
35,Adin Duenas,167.64000000000001,65.83
36,Adlan Amagov,187.96,77.18
37,Adrian Diaz,177.8,65.83
38,Adrian Serrano,172.72,77.18
39,Adriano Martins,177.8,70.37
40,Adrienna Jenkins,172.72,65.83
41,Aiemann Zahabi,172.72,61.29
42,Aisling Daly,157.48000000000002,52.21
43,Aji Susilo,177.8,70.37
44,Akbarh Arreola,177.8,70.37
45,Akihiro Gono,170.18,77.18
46,Akira Corassani,172.72,65.83
47,Akira Kikuchi,172.72,70.37
48,Akira Shoji,172.72,88.53
49,Akitoshi Tamura,175.26,61.29
50,Akiyo Nishiura,172.72,63.106
51,Al Iaquinta,177.8,70.37
52,Alan Belcher,187.96,83.99000000000001
53,Alan Hiro,165.1,61.29
54,Alan Jouban,182.88,77.18
55,Alan Omer,177.8,65.83
56,Alan Patrick,180.34,70.37
57,Alavutdin Gadjiev,187.96,83.99000000000001
58,Albert Cheng,180.34,77.18
59,Albert Morales,175.26,61.29
60,Albert Rios,172.72,65.83
61,Albert Tumenov,180.34,77.18
62,Alberta Cerra Leon,172.72,108.052
63,Alberto Crane,165.1,70.37
64,Alberto Mina,182.88,77.18
65,Alberto Uda,190.5,83.99000000000001
66,Alejandro Garcia,170.18,65.83
67,Alejandro Perez,167.64000000000001,61.29
68,Alejandro Villalobos,170.18,65.83
69,Aleksa Camur,182.88,93.07000000000001
70,Aleksandar Rakic,193.04,93.07000000000001
71,Aleksander Emelianenko,198.12,115.77000000000001
72,Aleksei Kunchenko,172.72,77.18
73,Aleksei Oleinik,187.96,108.96000000000001
74,Alen Amedovski,177.8,83.99000000000001
75,Alessandro Ricci,180.34,70.37
76,Alessio Di Chirico,182.88,83.99000000000001
